timestamp,open,high,low,close,volume,symbol,timeframe
2025-12-29T19:49:00,2928.74,2928.74,2927.56,2927.71,2.202,ETHUSDT,1m
2025-12-29T19:50:00,2927.72,2927.72,2925.64,2926.18,6.7981,ETHUSDT,1m
2025-12-29T19:51:00,2926.17,2926.68,2925.6,2926.68,8.2338,ETHUSDT,1m
2025-12-29T19:52:00,2926.49,2926.49,2924.99,2925.0,5.0682,ETHUSDT,1m
2025-12-29T19:53:00,2924.99,2924.99,2922.89,2924.38,7.8793,ETHUSDT,1m
2025-12-29T19:54:00,2924.38,2924.38,2923.12,2923.15,14.55,ETHUSDT,1m
2025-12-29T19:55:00,2923.19,2926.67,2923.19,2926.67,7.9076,ETHUSDT,1m
2025-12-29T19:56:00,2926.79,2927.61,2926.79,2927.61,0.1453,ETHUSDT,1m
2025-12-29T19:57:00,2926.46,2929.18,2926.46,2929.17,18.086,ETHUSDT,1m
2025-12-29T19:58:00,2929.17,2931.0,2929.17,2930.78,9.554,ETHUSDT,1m
2025-12-29T19:59:00,2930.78,2934.0,2930.77,2934.0,9.5599,ETHUSDT,1m
2025-12-29T20:00:00,2934.22,2934.22,2930.38,2931.43,19.2777,ETHUSDT,1m
2025-12-29T20:01:00,2930.61,2934.43,2930.61,2934.43,15.0236,ETHUSDT,1m
2025-12-29T20:02:00,2934.72,3050.74,2934.72,2955.78,46.1404,ETHUSDT,1m
2025-12-29T20:03:00,2955.78,2955.78,2945.82,2945.82,29.6747,ETHUSDT,1m
2025-12-29T20:04:00,2945.81,2949.06,2943.69,2949.05,30.9868,ETHUSDT,1m
2025-12-29T20:05:00,2949.53,2954.72,2949.53,2954.72,7.6682,ETHUSDT,1m
2025-12-29T20:06:00,2954.54,3050.0,2954.43,2959.53,9.1844,ETHUSDT,1m
2025-12-29T20:07:00,2959.53,2963.1,2958.43,2958.43,34.9689,ETHUSDT,1m
2025-12-29T20:08:00,2958.06,2958.06,2952.66,2957.51,36.1719,ETHUSDT,1m
2025-12-29T20:09:00,2958.56,2959.82,2957.52,2958.01,19.5608,ETHUSDT,1m
2025-12-29T20:10:00,2957.69,2957.69,2956.55,2956.71,2.0035,ETHUSDT,1m
2025-12-29T20:11:00,2955.67,2955.67,2950.21,2951.58,26.3904,ETHUSDT,1m
2025-12-29T20:12:00,2951.58,2955.65,2951.58,2955.65,10.779,ETHUSDT,1m
2025-12-29T20:13:00,2955.66,2957.39,2951.55,2955.76,11.295,ETHUSDT,1m
2025-12-29T20:14:00,2955.77,2957.98,2955.68,2957.98,11.7077,ETHUSDT,1m
2025-12-29T20:15:00,2957.98,2957.98,2954.01,2954.01,39.994,ETHUSDT,1m
2025-12-29T20:16:00,2954.01,2958.17,2944.2,2954.84,15.7654,ETHUSDT,1m
2025-12-29T20:17:00,2954.84,2958.53,2954.84,2958.53,11.3518,ETHUSDT,1m
2025-12-29T20:18:00,2958.6,2958.6,2954.36,2954.36,21.5794,ETHUSDT,1m
2025-12-29T20:19:00,2953.67,2953.67,2950.79,2952.16,13.6566,ETHUSDT,1m
2025-12-29T20:20:00,2952.17,2952.58,2948.63,2948.63,7.1146,ETHUSDT,1m
2025-12-29T20:21:00,2948.63,2948.63,2939.67,2943.99,17.9243,ETHUSDT,1m
2025-12-29T20:22:00,2945.1,2945.11,2940.88,2940.88,16.399,ETHUSDT,1m
2025-12-29T20:23:00,2940.88,2940.88,2938.71,2940.34,6.3933,ETHUSDT,1m
2025-12-29T20:24:00,2940.34,3116.59,2938.69,2940.67,20.0538,ETHUSDT,1m
2025-12-29T20:25:00,2938.69,2938.75,2932.89,2932.9,30.3779,ETHUSDT,1m
2025-12-29T20:26:00,2932.9,2939.02,2932.9,2939.01,17.4721,ETHUSDT,1m
2025-12-29T20:27:00,2937.68,2937.68,2932.89,2932.89,9.2476,ETHUSDT,1m
2025-12-29T20:28:00,2932.89,2932.89,2927.21,2927.21,23.4016,ETHUSDT,1m
2025-12-29T20:29:00,2927.22,2928.34,2924.35,2927.88,19.8035,ETHUSDT,1m
2025-12-29T20:30:00,2927.76,2928.16,2925.5,2925.5,17.402,ETHUSDT,1m
2025-12-29T20:31:00,2927.11,2927.12,2920.1,2922.14,24.9508,ETHUSDT,1m
2025-12-29T20:32:00,2922.14,2927.23,2922.14,2924.72,7.8475,ETHUSDT,1m
2025-12-29T20:33:00,2924.72,2927.15,2924.72,2925.16,14.2956,ETHUSDT,1m
2025-12-29T20:34:00,2925.16,2925.16,2923.87,2924.92,4.2717,ETHUSDT,1m
2025-12-29T20:35:00,2924.93,2928.6,2924.93,2925.67,17.8081,ETHUSDT,1m
2025-12-29T20:36:00,2925.67,2926.84,2925.54,2926.84,6.2433,ETHUSDT,1m
2025-12-29T20:37:00,2925.41,2928.91,2925.41,2927.81,36.5325,ETHUSDT,1m
2025-12-29T20:38:00,2927.81,2928.59,2923.57,2926.88,13.9012,ETHUSDT,1m
2025-12-29T20:39:00,2926.88,2932.89,2926.88,2932.89,20.968,ETHUSDT,1m
2025-12-29T20:40:00,2932.88,2939.57,2932.88,2939.57,25.1238,ETHUSDT,1m
2025-12-29T20:41:00,2939.58,2939.58,2935.38,2935.39,21.5764,ETHUSDT,1m
2025-12-29T20:42:00,2935.39,3116.59,2934.23,2936.46,22.4703,ETHUSDT,1m
2025-12-29T20:43:00,2936.47,3116.59,2936.47,2941.87,23.4833,ETHUSDT,1m
2025-12-29T20:44:00,2941.86,2942.68,2941.86,2942.64,16.8269,ETHUSDT,1m
2025-12-29T20:45:00,2942.64,2948.36,2942.64,2945.01,30.7834,ETHUSDT,1m
2025-12-29T20:46:00,2945.01,2947.47,2943.32,2947.47,22.7785,ETHUSDT,1m
2025-12-29T20:47:00,2947.47,2947.47,2940.97,2941.79,39.0344,ETHUSDT,1m
2025-12-29T20:48:00,2941.79,2941.79,2939.97,2941.36,21.6687,ETHUSDT,1m
2025-12-29T20:49:00,2941.36,2941.36,2935.75,2935.75,25.9892,ETHUSDT,1m
2025-12-29T20:50:00,2935.75,2935.75,2930.44,2930.44,18.4491,ETHUSDT,1m
2025-12-29T20:51:00,2930.44,2934.69,2930.44,2934.43,9.3032,ETHUSDT,1m
2025-12-29T20:52:00,2934.43,2934.43,2932.67,2933.16,5.6283,ETHUSDT,1m
2025-12-29T20:53:00,2933.31,2935.33,2933.31,2933.9,13.5197,ETHUSDT,1m
2025-12-29T20:54:00,2933.73,2936.82,2933.67,2936.82,22.1054,ETHUSDT,1m
2025-12-29T20:55:00,2936.82,2940.6,2936.82,2940.6,30.0809,ETHUSDT,1m
2025-12-29T20:56:00,2940.61,2944.22,2940.61,2943.0,12.212,ETHUSDT,1m
2025-12-29T20:57:00,2943.82,2943.82,2943.28,2943.28,15.5468,ETHUSDT,1m
2025-12-29T20:58:00,2943.18,2944.5,2750.0,2941.06,28.3168,ETHUSDT,1m
2025-12-29T20:59:00,2940.12,2942.09,2940.11,2941.49,6.957,ETHUSDT,1m
2025-12-29T21:00:00,2941.27,2943.6,2940.75,2943.59,12.6775,ETHUSDT,1m
2025-12-29T21:01:00,2943.59,2943.59,2939.23,2940.38,18.9081,ETHUSDT,1m
2025-12-29T21:02:00,2940.38,2940.97,2940.37,2940.97,19.989,ETHUSDT,1m
2025-12-29T21:03:00,2941.35,2942.47,2941.35,2941.62,1.909,ETHUSDT,1m
2025-12-29T21:04:00,2942.48,2942.98,2941.99,2941.99,0.3771,ETHUSDT,1m
2025-12-29T21:05:00,2942.0,2945.7,2942.0,2945.7,14.7941,ETHUSDT,1m
2025-12-29T21:06:00,2945.69,2945.69,2942.68,2942.68,17.3436,ETHUSDT,1m
2025-12-29T21:07:00,2942.68,2942.68,2938.53,2938.53,15.9808,ETHUSDT,1m
2025-12-29T21:08:00,2938.53,2939.15,2935.39,2935.39,21.8401,ETHUSDT,1m
2025-12-29T21:09:00,2935.39,2938.45,2935.39,2937.97,19.5954,ETHUSDT,1m
2025-12-29T21:10:00,2937.97,2938.87,2937.97,2938.87,0.1734,ETHUSDT,1m
2025-12-29T21:11:00,2938.87,2939.19,2937.25,2939.19,10.1878,ETHUSDT,1m
2025-12-29T21:12:00,2939.01,2939.42,2938.55,2938.55,3.9706,ETHUSDT,1m
2025-12-29T21:13:00,2938.43,2940.99,2937.88,2940.57,16.7101,ETHUSDT,1m
2025-12-29T21:14:00,2940.57,2941.95,2940.57,2941.26,13.5058,ETHUSDT,1m
2025-12-29T21:15:00,2941.77,2942.11,2940.72,2940.72,9.7557,ETHUSDT,1m
2025-12-29T21:16:00,2940.72,2940.74,2938.2,2939.0,7.8249,ETHUSDT,1m
2025-12-29T21:17:00,2939.0,2944.23,2938.8,2941.75,22.3625,ETHUSDT,1m
2025-12-29T21:18:00,2941.75,2941.75,2939.14,2939.14,3.7953,ETHUSDT,1m
2025-12-29T21:19:00,2939.08,2939.08,2936.11,2936.11,9.609,ETHUSDT,1m
2025-12-29T21:20:00,2935.67,2935.67,2932.96,2934.85,10.3507,ETHUSDT,1m
2025-12-29T21:21:00,2933.37,2934.33,2933.37,2933.66,10.3892,ETHUSDT,1m
2025-12-29T21:22:00,2933.65,2934.43,2932.9,2932.9,5.2156,ETHUSDT,1m
2025-12-29T21:23:00,2933.35,2935.41,2933.35,2933.87,13.7049,ETHUSDT,1m
2025-12-29T21:24:00,2933.87,2934.24,2931.05,2931.05,20.1291,ETHUSDT,1m
2025-12-29T21:25:00,2931.05,2934.46,2931.05,2934.46,14.9387,ETHUSDT,1m
2025-12-29T21:26:00,2934.46,2935.89,2922.67,2934.67,10.127,ETHUSDT,1m
2025-12-29T21:27:00,2934.68,2938.27,2934.68,2938.27,6.7817,ETHUSDT,1m
2025-12-29T21:28:00,2938.27,2938.94,2937.63,2937.63,12.6101,ETHUSDT,1m
2025-12-29T21:29:00,2937.33,2937.45,2935.76,2935.76,6.4206,ETHUSDT,1m
2025-12-29T21:30:00,2935.76,2935.99,2933.6,2933.6,4.0989,ETHUSDT,1m
